22,Querétaro,25925432464,14182892,2252072266,0.09,1232029,246537924,0.01,134872,938188087,0.04,513250,16546942356,0.64,9052250,206458068,0.01,112946,914765141,0.04,500436,,0,0,3888239990,0.15,2127119,,0,0,84844000,0,46415,847384632,0.03,463574.31
23,Quintana Roo,28076159485,21180315,2052544480,0.07,1548415,264170780,0.01,199287,1905338003,0.07,1437364,13369802534,0.48,10086017,168314333,0.01,126974,2479197877,0.09,1870277,111198027,0,83886,3181573783,0.11,2400141,,0,0,4544019668,0.16,3427953,,0,0
24,San Luis Potosí,34743295000,13437653,5432502189,0.16,2101127,184842280,0.01,71491,414165823,0.01,160187,20727903059,0.6,8016925,1765882,0,683,1309274568,0.04,506388,613800,0,237,5992343014,0.17,2317657,,0,0,343672434,0.01,132922,336211951,0.01,130036.59
25,Sinaloa,42808458565,15466819,5324022828,0.12,1923585,231860364,0.01,83772,1320082779,0.03,476950,24172805275,0.56,8733704,78813172,0,28475,6135174557,0.14,2216656,43924913,0,15870,5127926045,0.12,1852734,,0,0,373848632,0.01,135073,,0,0
26,Sonora,51677125691,19409395,7492657148,0.15,2814165,656185500,0.01,246456,1517626723,0.03,570005,23695672439,0.46,8899850,265216612,0.01,99613,7491586499,0.15,2813763,22000000,0,8263,5081842562,0.1,1908688,,0,0,5387996466,0.1,2023676,66341742,0,24917.27
27,Tabasco,42092081181,18802834,15907947378,0.38,7106194,919545632,0.02,410768,1260129348,0.03,562909,12296912858,0.29,5493119,228171888,0.01,101926,441741895,0.01,197329,109332010,0,48839,7790635477,0.19,3480133,,0,0,647016593,0.02,289027,2490648102,0.06,1112590.35
28,Tamaulipas,44350144115,13568735,5915420341,0.13,1809797,885573302,0.02,270937,4082458282,0.09,1249011,23936065498,0.54,7323136,564243682,0.01,172628,1392745811,0.03,426105,,0,0,5862180374,0.13,1793509,,0,0,1436189226,0.03,439396,275267599,0.01,84216.93
29,Tlaxcala,18944099595,16192424,1729810236,0.09,1478551,192950144,0.01,164924,305710092,0.02,261305,10188037163,0.54,8708200,311149414,0.02,265954,2004322149,0.11,1713190,,0,0,2548711267,0.13,2178505,,0,0,75084761,0,64179,1588324369,0.08,1357616.46
30,Veracruz de Ignacio de la Llave,112031033703,14657620,38711207931,0.35,5064795,1685019466,0.02,220460,2630521518,0.02,344165,29462544541,0.26,3854742,484118027,0,63340,6266939063,0.06,819937,,0,0,15884617979,0.14,2078270,4412088426,0.04,577257,3293734896,0.03,430937,9200241856,0.08,1203716.91
31,Yucatán,30205978168,15446069,8525612110,0.28,4359640,617536010,0.02,315782,1534250141,0.05,784551,12329016547,0.41,6304542,231524721,0.01,118392,520437653,0.02,266130,12926761,0,6610,4555890938,0.15,2329691,,0,0,1746555088,0.06,893115,132228199,0,67615.95
32,Zacatecas,25834634936,17330911,9178060692,0.36,6157012,347353372,0.01,233019,622183043,0.02,417385,8390091660,0.32,5628411,270418203,0.01,181407,2335962435,0.09,1567057,182738334,0.01,122588,3992329828,0.15,2678215,,0,0,515497369,0.02,345816,,0,0
