22,Querétaro,25925432464,14182892,2252072266,1232029,0.09,246537924,134872,0.01,938188087,513250,0.04,16546942356,9052250,0.64,206458068,112946,0.01,914765141,500436,0.04,,0,0,3888239990,2127119,0.15,,0,0,84844000,46415,0,847384632,463574.31,0.03
23,Quintana Roo,28076159485,21180315,2052544480,1548415,0.07,264170780,199287,0.01,1905338003,1437364,0.07,13369802534,10086017,0.48,168314333,126974,0.01,2479197877,1870277,0.09,111198027,83886,0,3181573783,2400141,0.11,,0,0,4544019668,3427953,0.16,,0,0
24,San Luis Potosí,34743295000,13437653,5432502189,2101127,0.16,184842280,71491,0.01,414165823,160187,0.01,20727903059,8016925,0.6,1765882,683,0,1309274568,506388,0.04,613800,237,0,5992343014,2317657,0.17,,0,0,343672434,132922,0.01,336211951,130036.59,0.01
25,Sinaloa,42808458565,15466819,5324022828,1923585,0.12,231860364,83772,0.01,1320082779,476950,0.03,24172805275,8733704,0.56,78813172,28475,0,6135174557,2216656,0.14,43924913,15870,0,5127926045,1852734,0.12,,0,0,373848632,135073,0.01,,0,0
26,Sonora,51677125691,19409395,7492657148,2814165,0.15,656185500,246456,0.01,1517626723,570005,0.03,23695672439,8899850,0.46,265216612,99613,0.01,7491586499,2813763,0.15,22000000,8263,0,5081842562,1908688,0.1,,0,0,5387996466,2023676,0.1,66341742,24917.27,0
27,Tabasco,42092081181,18802834,15907947378,7106194,0.38,919545632,410768,0.02,1260129348,562909,0.03,12296912858,5493119,0.29,228171888,101926,0.01,441741895,197329,0.01,109332010,48839,0,7790635477,3480133,0.19,,0,0,647016593,289027,0.02,2490648102,1112590.35,0.06
28,Tamaulipas,44350144115,13568735,5915420341,1809797,0.13,885573302,270937,0.02,4082458282,1249011,0.09,23936065498,7323136,0.54,564243682,172628,0.01,1392745811,426105,0.03,,0,0,5862180374,1793509,0.13,,0,0,1436189226,439396,0.03,275267599,84216.93,0.01
29,Tlaxcala,18944099595,16192424,1729810236,1478551,0.09,192950144,164924,0.01,305710092,261305,0.02,10188037163,8708200,0.54,311149414,265954,0.02,2004322149,1713190,0.11,,0,0,2548711267,2178505,0.13,,0,0,75084761,64179,0,1588324369,1357616.46,0.08
30,Veracruz de Ignacio de la Llave,112031033703,14657620,38711207931,5064795,0.35,1685019466,220460,0.02,2630521518,344165,0.02,29462544541,3854742,0.26,484118027,63340,0,6266939063,819937,0.06,,0,0,15884617979,2078270,0.14,4412088426,577257,0.04,3293734896,430937,0.03,9200241856,1203716.91,0.08
31,Yucatán,30205978168,15446069,8525612110,4359640,0.28,617536010,315782,0.02,1534250141,784551,0.05,12329016547,6304542,0.41,231524721,118392,0.01,520437653,266130,0.02,12926761,6610,0,4555890938,2329691,0.15,,0,0,1746555088,893115,0.06,132228199,67615.95,0
32,Zacatecas,25834634936,17330911,9178060692,6157012,0.36,347353372,233019,0.01,622183043,417385,0.02,8390091660,5628411,0.32,270418203,181407,0.01,2335962435,1567057,0.09,182738334,122588,0.01,3992329828,2678215,0.15,,0,0,515497369,345816,0.02,,0,0
