23,Quintana Roo,1325578,28076159485,21180314.92,1381888000,0.05,1042480,0,0,0,,0,0,629018000,0.02,474524,103690000,78222,0,605387000,456697,0.02,6902695000,5207310,0.25,12094699000,9124095,0.43,,0,0,6358782485,4796989,0.23,,0,0
24,San Luis Potosí,2585518,34743295000,13437653.5,1339731000,0.04,518167,0,0,0,,0,0,824199000,0.02,318775,159359000,61635,0,5692000,2201,0,10574135000,4089755,0.3,21840179000,8447119,0.63,,0,0,,0,0,,0,0
25,Sinaloa,2767761,42808458565,15466819.05,1333514494,0.03,481803,0,0,0,,0,0,1766569763,0.04,638267,278261679,100537,0.01,23659643,8548,0,13038157259,4710724,0.3,25352375849,9159886,0.59,,0,0,1015919878,367055,0.02,,0,0
26,Sonora,2662480,51677125691,19409394.88,2325594722,0.05,873469,0,0,0,,0,0,1055724399,0.02,396519,40319937,15144,0,1121801129,421337,0.02,15935015674,5985027,0.31,25054192388,9410096,0.48,5526998,2076,0,6138950444,2305726,0.12,,0,0
27,Tabasco,2238603,42092081181,18802834.26,1983310956,0.05,885959,0,0,0,,0,0,578879628,0.01,258590,5570224,2488,0,154499765,69016,0,19220602062,8585981,0.46,20056042081,8959178,0.48,93176465,41623,0,,0,0,,0,0
28,Tamaulipas,3268554,44350144115,13568735.32,2180766172,0.05,667196,0,0,0,,0,0,1865985023,0.04,570890,120757965,36945,0,1327174345,406043,0.03,14881625149,4552969,0.34,23010835461,7040066,0.52,,0,0,963000000,294626,0.02,,0,0
29,Tlaxcala,1169936,18944099595,16192423.85,219152198,0.01,187320,0,0,0,,0,0,244869161,0.01,209301,52504733,44878,0,11292454,9652,0,5540932566,4736099,0.29,10293040203,8797952,0.54,1625777789,1389630,0.09,,0,0,956530491,817592,0.05
30,Veracruz de Ignacio de la Llave,7643194,112031033703,14657620.06,3624700000,0.03,474239,0,0,0,,0,0,1073530000,0.01,140456,48140000,6298,0,292500000,38269,0,32963200000,4312752,0.29,56430700000,7383131,0.5,7656023635,1001679,0.07,,0,0,9942240068,1300797,0.09
31,Yucatán,1955577,30205978168,15446069.46,1182223781,0.04,604540,0,0,0,,0,0,499507465,0.02,255427,45881185,23462,0,324724565,166051,0.01,9075789668,4640978,0.3,17148041671,8768789,0.57,74306018,37997,0,1855503815,948827,0.06,,0,0
32,Zacatecas,1490668,25834634936,17330911.33,503813608,0.02,337978,0,0,0,277989932,0.01,186486.82,395911356,0.02,265593,153102974,102708,0.01,651845891,437284,0.03,6759493096,4534540,0.26,16141824275,10828584,0.62,,0,0,950653804,637737,0.04,,0,0
